rank,track_name,track_id,artist_names,artist_ids,album_name,album_id,popularity,duration,explicit,release_date,album_type,isrc,copies,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,total_artist_followers,avg_artist_popularity,artist_genres,main_genres,lyrics
4960,Doblexxó,2llFXBrftm6YJzBj3tpk0s,J Balvin|Feid,1vyhD5VmyZ7KMfW5gqLgo5|2LRoIwlKmHjgvigdNGBHNo,Rayo,1hUqwHvAVIEXMXqIrkHgPo,74,2:56,1,2024-08-09,album,USUG12403474,14,0.787,0.775,1.0,-4.607,0.0,0.0699,0.0373,0.0,0.116,0.826,99.008,176720.0,4.0,58906231,88.5,"[""latin"", ""reggaeton"", ""urbano latino""]",Latin,"Van a entrar, a todas las invitó José
Están loquitas y no son ni las 12
Tapa azul, cigarrillo cool, se fueron de bote

Baby, hoy no tiene que meterle el cora
Bota el reloj que te dio ese cabrón, pa qué va a mirar la hora
Doblexxó pa tus amigas, pa ver si te dejan sola
Si te llama ese hijueputa mejor, baby, tú lo ignoras
Y que se joda (let's go)

Reina, qué se dice
Cómo fue, qué hay pa hacer, solo avise (let's go)
No está buscando que la ajuicie
Quiere un party que la reinicie

En la cartera tiene pasto, mora y la glue (glue, glue)
La bebecita estaba loca por ir al club
Y yo loco de explotar ese bubbaloo

Si te pregunta dile que yo soy tu amigo con derecho
Y que nos conocimos en un party con FERXXO (¿qué pasó?)
Tú se la hiciste porque te la había hecho
Qué peligroso una mujer con despecho

Y eso que no quería (no)
Pero después de dos shots
Cómo es, cómo sería

Pa meterte todo, menos el cora
Bota el reloj que te dio ese cabrón, pa qué va a mirar la hora
Doblexxó pa tus amigas, pa ver si te dejan sola
Si te llama ese hijueputa mejor, baby, tú lo ignoras
Y que se joda

Ando flow Zion, esta noche motivando a la Gyal
Un chorrito pa las ánima, métele moral
La baretica enroladita por si quiere volar
Yo sé que te gusta mi flow, mami, tiene que aflojar

Que esta noche le repita, mamasota, culona y flaquita
Se me volteó y no tenía tanguita, semejante bobadita

Baby, hoy no tiene que meterle el cora
Bota el reloj que te dio ese cabrón, pa qué va a mirar la hora
Doblexxó pa tus amigas, pa ver si te dejan sola
Si te llama ese hijueputa mejor, baby, tú lo ignoras
Y que se joda (que se joda, que se joda)

Bota el reloj que te dio ese cabrón, pa qué va a mirar la hora"
4961,MEMORIAS,2hLXUbsOU9cDb9RFva9FYr,Mora|JHAYCO,0Q8NcsJwoCbZOHHW63su5S|6nVcHLIgY5pE2YCl8ubca1,MICRODOSIS,0QLDQG7Jx78rEUDW03IhHC,74,3:48,0,2022-04-01,album,QM4TX2252943,1,0.771,0.707,2.0,-6.404,0.0,0.055,0.389,0.0,0.0745,0.317,127.963,228750.0,4.0,18106870,82.5,"[""reggaeton"", ""trap latino"", ""urbano latino""]",Latin,"Te lo advertí, que si fallabas yo te iba a hacer llorar
Tu corazón es de piedra y tus lágrimas de cristal

Pasamos de decir ""te extraño"" a ser dos extraños
Se derrumbó en minutos lo que construí en dos años
Y a veces estaba bien, pero me hacía daño
Tú no eres real, baby, tú eres un engaño

Hoy borro tus memorias, tu contacto y to' tus videos
Llegó el final de esta historia, no te arrepientas porque ya no te creo
Y hoy borro tus memorias, tu contacto y to' tus videos
Llegó el final de esta historia, no te arrepientas porque ya no te creo

Baby, tú eres feka, igual que ese culo
Tienes las tetas real, pero el corazón facturo
De esa vida de mentira yo era lo único puro
Quédate con la guagua, con las ganas y con el poodle

A ti yo te di, pero también le di delete
A la foto en París
Y que me cague en la madre el que me vuelva a parir
Por eso bloqueé tu perfil
Yo no quería volver, solo escucharte gemir

Baby, sin mí, tú no luces, aunque prendan las luces
La culpa la tienes tú, por más que me acuses
Tantas excusas que puedes llenar diez autobuses
Vas a ver el diablo cuando conmigo te cruces

Hoy borro tus memorias, tu contacto y to' tus video
Llegó el final de esta historia, no te arrepientas porque ya no te creo
Hoy borro tus memorias, tu contacto y to' tus videos
Llegó el final de esta historia, no te arrepientas porque ya no te creo

Y a ti yo te leo, aunque tú seas Piscis
Cuando no tenía ni carro te buscaba en bici
Pero tú me fallaste y la pusiste easy
Quédate con toas las Louis Vuitton y con las Yeezy

Si quieres, busca a otro cabrón que te lleve de compras
No te vo' a dar mi corazón pa que otra vez lo rompas
Lo menos que tú quieres, tenerme en tu contra
Tú no sirves y lo que no sirve, se bota

Ahora te toca llorar y llorar
Cuando me veas con otra es que te vas a acordar
Me puedes ver, no tocar, sin tocar
Contigo fue que aprendí a nunca perdonar

Y hoy borro tus memorias, tu contacto y to' tus videos
Llegó el final de esta historia, no te arrepientas porque ya no te creo
Así que hoy borro tus me-

Ya no te creo"
4962,APAGA EL CEL,0ZS96pPRLyGUViVi5PWCAR,FloyyMenor|Lewis Somes,7CvTknweLr9feJtRGrpDBy|6U574RAq08wVaurzSaqEY3,EL COMIENZO,6MikZBKCtKfPM4439yzBRz,74,3:04,1,2024-08-09,album,QZMWW2484259,2,0.696,0.496,9.0,-7.532,0.0,0.0365,0.273,0.000397,0.0626,0.476,100.025,184806.0,4.0,2434362,73.0,"[""reggaeton chileno""]",Latin,"Así que, ma, ven y apaga el cel
Mami, no te hagas la loca, yo te lo voy a meter
Yo sé que te gusto, nena, yo te hice enloquecer
Vente y solo déjate llevar
Ey, ma

Así que, ma, ven y apaga el cel
Mami, no te hagas la loca, yo te lo voy a meter
Yo sé que te gustó, nena, yo te hice enloquecer
Vente y solo déjate llevar
Es que tú eres bipolar
Eso me enamora, ma
Una noche namás
Después no me digas na (ah, brr)

Ga-ga-ga-gata, ven, yo te hago my love
La pasamo' bien, móntate en el Ventador
En la Mercede' escuchando su ""Bayamón""
Porque ella la pasó cabrón
I want you, want you, es que me tiene' como loco, mami
I like you chingando arriba del Ferrari
Me gustó su view, nena, con vista panoramic, vista panoramic

Te monto en el Panamera pa pasar las penas
Y dime qué tú esperas, no andes con la pera
El cora me acelera, el cora me acelera

Así que, ma, ven y apaga el cel
Mami, no te hagas la loca, yo te lo voy a meter
Yo sé que te gustó, nena, yo te hice enloquecer
Vente y solo déjate llevar
Es que tú eres bipolar
Eso me enamora, ma
Una noche namás (FloyyMenor)
Después no me digas na (ey)

Me gustó su view, no espere' que te desvista
Mujer de revista
Amor a primera vista
Una chica positiva

Ey, gata, ven, yo te hago my love
La pasamo' bien, móntate en el Ventador
En la Mercede' escuchando su ""Bayamón""
Porque ella la pasó cabrón (ja, ja)
I want you, want you, es que me tiene' como loco, mami
I like you chingando arriba del Ferrari
Me gustó su view, nena, con vista panoramic, vista panoramic

Y dime si tú quiere' que te monte
No te haga' la loca, te busco en la Porsche
Dime si tú quiere' a las 5:12
A las 5:12, y a las 5:12

Dándote en toa' las pose'
Nena, tú ta' arreglándote, te busco a las 12
Dime que me pasa' buscándome, ah
Oh, ma, no haga' como que no conoce'
Mami, yo te di, sí
Tú quiere' que el toto te roce
Y tomando una' Percocet
Oh-oh, ah-ah, oh-oh

Ay, ya tú sabe' quiéne', ya tú sabe' quiéne' somo'
FloyyMenor
Y en los controle'
Lewis Somes"
4963,OTRAS 24 HORAS,0pDnaflKbJcMj1TVbDDcH0,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,Vibras De Noche II,7wOBO3WCbLaCGsRWHuXpm0,74,3:42,0,2025-03-13,album,USA2P2510035,1,0.64,0.67,6.0,-6.8,1.0,0.0389,0.586,3.12e-05,0.398,0.479,118.041,222118.0,4.0,6512284,78.0,"[""corrido"", ""corridos b\u00e9licos"", ""corridos tumbados"", ""m\u00fasica mexicana"", ""sad sierre\u00f1o"", ""sierre\u00f1o""]",Traditional Music,"¿Por qué ya no miras como antes?
Si al principio tenías ganas de mis besos
Siempre te acostabas en mi pecho
Me dicen tus amigas que ya te deje
Que ya no estás feliz con lo que sea
Ya ni con rosas te hace contenta

Yo no te di un castillo ni un anillo de un millón
Pero sí te di mi tonto corazón
Y creo que te aprovechaste
Horas se van contando, 24 exacto
Sigo sin recibir notificación
Pero ya sé que me bloqueaste

Me duele todo el alma, te doy las gracias
Ahorita lo que ocupo es estar solo
Apagar luces y pensar todo
Tal vez no fui tu tipo, pero cariño
¿Por qué me ilusionaste con tus besos?
Me decías: Te amo, todo el tiempo

Yo no te di un castillo ni un anillo de un millón
Pero sí te di mi tonto corazón
Y creo que te aprovechaste
Horas se van contando, 24 exacto
Y sigo sin recibir notificación
Pero ya sé que me bloqueaste"
4964,Donde Estás,09vTIvb4qpqECgewqXPVSq,Ivan Cornejo,6PH3FLQAxtqYy46Zv08bpV,MIRADA,4QwYcMNFzIhUctirR6XKDM,74,4:09,1,2024-07-19,album,USA2P2349443,2,0.471,0.235,8.0,-10.971,1.0,0.0372,0.755,0.0,0.102,0.0862,165.829,249040.0,3.0,5851182,79.0,"[""corrido"", ""corridos tumbados"", ""m\u00fasica mexicana"", ""sad sierre\u00f1o"", ""sierre\u00f1o""]",Traditional Music,"No sé en dónde encontrar
El portal
Que me llevaba a ti
Recorrí esta galaxia por ti
Estoy frío
Mi estrella

Ya apagué las luces
Ya cerré mi puerta
Ya apagué mi celular
Y ya cerré mis ojos pa verte otra vez

A veces me desespero cuando me despierto
Después de soñar que estoy grabándote bailar
Es que siempre he sido terco, у tú también terca
Siempre era una guerra que nunca se termina

Y hasta empecé unas clases de terapia
Salí con varias, ninguna te alcanza
No te alcanzan

Me tienes a tus pies
No es fácil de aceptar
Que no te tengo aquí
¿De dónde te salió que ya no me querías a mí?
Veces me desespero y encabrono porque no estás
¿De dónde te salió que ya no me querías más?

Entre más botellas, no me pueden callar
Entre más botellas, solo te pienso más
Me entran las ganas de ir a buscarte, ir a buscarte
Baby, ¿dónde estás?

Y hasta empecé unas clases de terapia
Salí con varias ninguna te alcanza
No te alcanzan

Me tienes a tus pies
No es fácil de aceptar
Que no te tengo aquí
¿De dónde te salió que ya no me querías a mí?
Veces me desespero y encabrono porque no estás
¿De dónde te salió que ya no me querías más?

¿Dónde manejo, y en dónde te encuentro?
Te siento muy lejos, mejor ya te dejo
Donde sea que estés
Donde sea, espero que estés muy bien"
4965,Baby Please,71jWljGDgSEpsa1LA5LHSg,Ivan Cornejo,6PH3FLQAxtqYy46Zv08bpV,MIRADA,4QwYcMNFzIhUctirR6XKDM,74,2:58,0,2024-07-19,album,USA2P2412592,2,0.438,0.385,2.0,-9.505,1.0,0.0516,0.623,0.0,0.115,0.232,171.531,178320.0,4.0,5851182,79.0,"[""corrido"", ""corridos tumbados"", ""m\u00fasica mexicana"", ""sad sierre\u00f1o"", ""sierre\u00f1o""]",Traditional Music,"Ya me entró el alcohol
Y me llené con ganas de salir
Y buscarme a alguien que ame como tú
Sé que tu amor fue irreemplazable
Ruego que haya solución
Porque este amor duele cabrón

Pensé en mudarme a un lugar muy lejos de aquí
Pa' no recordarme de mi tesoro que perdí
Pensé en largarme a un lugar muy lejos de ti
Pero no me puedo ver sin ti

Son besos de los quе te di, pedazos de mí
Tú mе robaste, de coraje me llenaste
Baby, please, déjate venir
Piensa un poco en mí, baby, piensa en mí, baby

Piénsalo, tú y yo
Empezamos desde cero como antes
No' olvidamos del ayer
Enamorarnos otra vez
Piénsalo, tú y yo
Sin celos como la primera vez
No' enseñamos a querer
Pero esta vez hay que hacerlo bien

Y hay que hacerlo bien
Hay que hacerlo mal
Hay que hacerlo mal
Eso no me importa, yo solo quiero que seas mía

Sin pagar la renta vives en mí
No hay una manera de irte de aquí
Sin embargo, para ti fue fácil
Apagar la llama que prendí en ti

Lo que tú necesites de mí
Cúlpame, pero no me dejes de amar
Hazme todo menos dejarme ir
Bote tras bote, ma, escribo de ti

Soy todo, soy un montón
Pero, ¿por qué dijiste: ""puedes aguantar""?
Recuérdate
Recuérdate, oh

Piénsalo, tú y yo
Empezamos desde cero como antes
No' olvidamos del ayer
Enamorarnos otra vez
Piénsalo, tú y yo
Sin celos como la primera vez
No' enseñamos a querer
Pero esta vez hay que hacerlo bien

Piensa en mí
Baby
Please"
4966,Sale Para Ser Feliz,0reBZSEtwbvqkXoWGtmV0k,Ivan Cornejo,6PH3FLQAxtqYy46Zv08bpV,MIRADA,4QwYcMNFzIhUctirR6XKDM,74,3:12,0,2024-07-19,album,USA2P2440027,1,0.593,0.498,9.0,-9.042,0.0,0.0417,0.33,0.0,0.102,0.18,153.102,192499.0,3.0,5851182,79.0,"[""corrido"", ""corridos tumbados"", ""m\u00fasica mexicana"", ""sad sierre\u00f1o"", ""sierre\u00f1o""]",Traditional Music,"Sale para ser feliz, sale para sonreír
Sale y solo se daña, pero yo la entiendo porque he estado allí
No es la misma que conocí, y cuando de lejos yo la vi
Perdiéndose en la noche que juró no iba a repetir
Pinta sus labios color rosado
Vestido negro y por dentro su llanto
Tuve tu pelo entre mis manos
Te lo cambiaste, ay, cuánto has cambiado
Y mírate, ya ni siquiera te conozco
Y mírate, ya ni puedo ver tu rostro
Y la mujer que tanto amé
¿A dónde sе me fue?
Sale para sеr feliz y sale solo pa' decir
Que todo está bien cuando sabes que no
Y tatuado en tu piel lo que nunca se dio
Sé que no ven en ti lo que puedo ver yo
Sale para ser feliz y sale solo pa' sentir
Que te diviertes un momento, pero se lo lleva el viento
Que te lleve hacia mí es cuestión de tiempo
No hace falta mentir cuando sé que es cierto
Pinta sus labios color rosado
Vestido negro y por dentro su llanto
Tuve tu pelo entre mis manos
Te lo cambiaste, ay, cuánto has cambiado
Y mírate, ya ni siquiera te conozco
Y mírate, ya ni puedo ver tu rostro
Y la mujer que tanto amé
¿A dónde se me fue?"
4967,Tattoo - Remix with Camilo,4G3PTss3mU33Tau7t4KbwE,Rauw Alejandro|Camilo,1mcTU81TzQhprhouKaTkpq|28gNT5KBp7IjEOQoevXf9N,Afrodisíaco,3fq06DDIkadDRB9RuBb22v,74,3:42,0,2020-11-13,album,USSD12000188,7,0.721,0.637,9.0,-5.134,1.0,0.286,0.0406,0.0,0.0525,0.691,193.922,222680.0,4.0,52569973,85.0,"[""colombian pop"", ""latin"", ""pop urbano"", ""reggaeton"", ""trap latino"", ""urbano latino""]","Latin, Pop","Tú está' pa' comerte toa toíta, así está' tú
Te ve' tan rica, esa carita y ese tattoo
Ay, hace que la nota nunca se baje
No hace falta nada si estás tú (Ra-Rauw)

Yo no sé ni qué hacer cuando estoy cerca de ti (wuh)
Tus ojos color café se apoderaron de mí (yih)
Muero por un beso de esos que no son de amigos (hey)
Me di cuenta que por esa sonrisa yo vivo

Cuando cae la noche, siempre me tira (wouh)
Le digo los plane', y si la busco, de una se activa (wuh)
Tráete la ropa, si tarde se acaba el party
Yo te dejo un ladito aquí conmigo, yeah (¡ya!)

Tú está' pa' comerte toa, toita, así está' tú
Te ve' tan rica, esa carita y ese tattoo
Ay, hace que la' nota' nunca se bajen
No hace falta nada si estás tú (uoh, oh-oh, yeah, eh)

Tú está' pa' comerte toa, toita', así está' tú (oh-oh, yeh)
Te ve' tan rica, esa carita y ese tattoo
Ay, hace que la' nota' nunca se bajen
No hace falta nada si estás tú (no hace falta nada, bebé, dice, hey)

Que yo no quiero a más nadie (wuh-uh)
Que no seas tú en mi cama (ra)
Baby, cuando te despiertes
Levántame ante' que te vaya' (hey)

Solo tu boca es lo que desayuno (mua)
Siempre aprovecho el momento oportuno (yuh)
Como yo, no hay ninguno
Déjame ser tu número uno, baby (¡ya!)

Tú está' pa' comerte toa, toita, así está' tú (uh-uh, uh)
Te ve' tan rica, esa carita y ese tattoo
Ay, hace que la' nota' nunca se bajen
No hace falta nada si estás tú (ah-ah, yeh)

Tú está' pa' comerte toa, toita, así está' tú (oh-oh, yeh)
Te ve' tan rica, esa carita y ese tattoo
Ay, hace que la' nota' nunca se bajen
No hace falta nada si estás tú (no hace falta nada, bebé)

Yeah, Ra-Rauw Alejandro
Toya
Con lo' Honeyboos
Duars Entertainment con Los Sensei
Mr. Naisgai
Oh, yeh
Baby, baby (yeh)"
4968,PUNTO G,4WiQA1AGWHFvaxBU6bHghs,Quevedo,52iwsT98xCoGgiGntTiR7K,DONDE QUIERO ESTAR,156gxGFDxadwiIC3Bfwmj3,74,2:31,0,2023-01-20,album,BK4DA2202913,4,0.745,0.77,9.0,-3.653,1.0,0.14,0.218,0.00012,0.0504,0.629,92.044,151325.0,4.0,6582040,84.0,"['urbano latino', 'rap canario', 'trap latino', 'reggaeton']",Latin,"Amigos de la infancia pero la perdí de vista
Y a los 18 nos seguimos por el insta
No busca una relación que para eso no está lista
Pero está buscando alguien para que la desvista
La última vez que la vi, la vi en la discoteca
Dejándose el alma por otro cabrón
Cruzamos miradas
Ella despechada
Se me acercó y terminé tocándote el

PUNTO G
Tú gritándome
Dando, dándote
Bando, bandolera

PUNTO G
Tú gritándome
Dando, dándote
Bando, bandolera

Antes éramos desconocidos pero ahora
Dudas porque conmigo sientes cosas reales
Estás acostumbrada a tenerlos a pares
Él no la valora, me dio señales
Y entonces
Actué
Y me la llevé
Parece una modelo de TV
Ya no sé qué vamos a hacer
Me engancha tu cara y tu PUNTO G

Ese culito pide me que lo estrellé
No me olvido del perreito en el muelle
No necesita que ninguna le enseñe y

Cara como botella de Don Peri
Ni tú ni nadie se cree su peli
Te enchulaste desde que te di
Y te toqué el

PUNTO G
Tú gritándome
Dando, dándote
Bando, bandolera

PUNTO G
Tú gritándome
Dando, dándote
Bando, bandolera

Actué y me la llevé
Parece una modelo de TV
Ya no sé qué vamos a hacer
Me engancha tu cara y tu PUNTO G

Y te toqué el PUNTO G

Me enchule
Sigue guayando bebé
Sigue guayando
Sigue guayando bebé
Sigue guayando

PUNTO G

Me enchule
Hasta abajo bebé
Hasta abajo
Hasta abajo bebé
Hasta abajo"
4969,Cuando No Era Cantante,44xDy4h27s4ENaC8fKnCoC,El Bogueto|Yung Beef,3S9Hg7sRKhmtWunFZ2yAYP|1rTUwYS38LkQTlT2fhikch,No Hay Loco Que No Corone,4HRbWvdFSp49raypicZyXS,74,3:31,1,2024-09-26,album,AEA3A2366094,3,0.742,0.801,11.0,-5.612,0.0,0.0495,0.226,1.17e-05,0.0595,0.759,165.969,211084.0,4.0,2221974,79.5,"[""neoperreo"", ""reggaeton"", ""reggaeton mexa""]",Latin,"Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
(Antes de que yo me hiciera un gánster)
Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor
Como lo hacíamos antes dentro de tu habitación
Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor
Como lo hacíamos antes dentro de tu habitación
Como antеs, baby, vamo' a hacerlo como antes
Como cuando no era cantantе
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'
Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'
Deja de esconderte, vo'a salir a buscarte
Deja demostrarte que ya no soy el de ante'
Rico vo'a tratarte, no hay trozo aparte
Vamo' a hacer deporte, después pa'l restaurante
Baby, vamo' a hacerlo, hacerlo duro como ante'
Y si tú quiere', mañana puedo olvidarte
Dale un beso a tu mamá de mi parte
Y si tú quiere', ya sabe' dónde encontrarme
Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
(Antes de que yo fuera un gánster)
(Antes de que yo fuera cantante)
Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor
Como lo hacíamos antes dentro de tu habitación
Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor (Prr)
Como lo hacíamos antes dentro de tu habitación (ah, ah)
Ando por la calle, ando en el joseo
Tú sabes, mami, yo me cuido de los feos
Pendiente a ti, a las otras yo ni las leo
Extraño los perreos dándote de'o
Me tienes preso, ven dame de eso
Eso a mí me dejó el cora ileso
Te juro que ha sido difícil el proceso
Ando con culos, pero, mami, yo te pienso
Y ahora soy un bandido, pero roto
Vamos pa' la Louis V, yo te la exploto
Ma', todavía tengo las fotos
Estoy loquito por romperte ese toto
(Mami, extraño tu olor, necesito tu calor)
(Ven, que yo te quiero hacer el amor)
(Escuchando de fondo La Mafia del Amor)
(Como lo hacíamos antes dentro de tu habitación)
Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'
Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'"
4970,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia|Casper Magico|Bad Bunny|Darell|Ozuna|Nicky Jam,5hdhHgpxyniooUiQVaPxQ0|1fux65HMCBvfJHqlBc4Nno|4q3ewBCX7sLwd24euuV69X|1TtXnWcUs0FCkaZDPGYHdf|1i8SpTcr7yvPOmcqrbnVXY|1SupJlEpv7RS2tPNRaHViT,Te Boté (Remix),42wLKnuGyBLGWwH89lnimL,74,6:57,1,2018-04-13,single,QM4TW1811888,5,0.903,0.675,11.0,-3.445,0.0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920.0,4.0,179575729,81.33333333333333,"[""dembow"", ""latin"", ""reggaeton"", ""trap latino"", ""urbano latino""]",Latin,"Oh-oh (oh-oh)
Oh-oh (este es el verdadero reel)
¡Ey!, Chuasy

Paso muchas noches pensándote
Yo no sé ni cómo ni cuándo fué
Pero solo sé que yo recordé
Como te lo hacía yo aquella vez

Si yo no puedo seguir solo, pero sé que te boté
De mi vida te boté y te boté
Te di banda y te solté, yo te solté
Pa'l carajo usted se fué y usted se fué
De mi vida te boté, yo te boté, yep, yep, mami

Baby, la vida es un ciclo
Y lo que no sirve yo no lo reciclo
Así que de mi vida muévete
Que si te lo meto es pa' recordar un TBT, yeh

Ya yo me cansé de tus mentiras
Ahora hay una más dura que me tira
Todo tiene su final, todo expira
Tú eres pasado y el pasado nunca vira

Arranca pa'l carajo, mi cuerpo no te necesita
Lo que pide es un perreo sucio en la placita
No creo que lo nuestro se repita
Dale, prende un phillie, deja uno ready pa ahorita (yeah)

Odio saber que en ti una vez más yo confié
Odio todos los ""te amo"" que mil veces te texteé
Baby, mejor que tú ahora tengo como diez
Lo nuestros iba en un Bugatti y te quedaste a pie

Yo te boté
Te di banda y te solté, yo te solté
Pa'l carajo te mandé, yo te mandé
Y a tu amiga me clavé, me la clavé
Fuck you, hijo 'e puta, yeh

Bebé, yo te boté
Y desde que te di esa botá' las gatas son de tres en tres
Si tú quieres pregunta si no me crees
Que ya no tengo estrés
Pa completar la fila son express

¿Y viste como el mundo se te fue al revés?
Y yo con ella en RD
Que me enamoré el día que la probé
Yo ya no creo que vuelva y te dé
Mami, porque el servicio te lo cancelé

Si no respondo, el problema va a tocar fondo
Mami, respira hondo mientras te lo escondo
Contigo yo obliga'o hoy yo me pongo el condón
Pero porque voy a media cancha, baby, como Rondo

Yo a ti te di una sepultura dura
Yo sé que con el tiempo la herida se cura
Es que en verdad el que tú no estás a esa altura
Te lo juro por Dios aunque por Dios no se jura

Bebé, yo te boté (yo te boté)
Te di banda y te solté (pa que sepa)
Pa'l carajo te mandé (portate bien por que estamos introduciendo)
De mi vida te saqué (esta es la veladora; nosotros somos los mágicos bebé)
Casper

Pa'l carajo te boté
Yo sin ti me siento bien (ah)
Ya no sufro por amores
Ahora rompo corazones y sobran las pacas de cien (las pacas de cien)

Tú me rompiste el corazón (me rompiste el corazón)
Sin sentido y sin razón (sin sentido y sin razón)
Pero tengo un culo nuevo que me da mucho cariño
Y me chinga bien cabrón (bien cabrón)

No te lo vo'a negar que te sufrí, la pasé mal
Pero te superé y de mi vida te boté (yo te boté)
Y te di banda y te solté (y te solté)
Y de ti no quiero saber (quiero saber)
Y pa'l carajo te mandé, hoy me voy a beber (Ozuna)

De mi vida te boté y yo sé que no eres cualquiera
Me pasaré la vida entera preguntando, ¿a dónde fué?
Pero tu amiga me textea siempre que ella me desea
Se tira una foto conmigo y me dice: ""Pa que tú la veas""

Prendo pa ver si me olvido
De tu nombre, tus besos, tu cuerpo, tus gemidos
Lo hacíamos en el carro, me gritaba al oído
Cierro los ojos y piensa en to' lo que hicimos, baby

Prendo pa' ver si me olvido
De tu nombre, tus besos, tu cuerpo, tus gemidos
Lo hacíamos en el carro, me gritaba al oído
Cierro los ojos y piensa en to' lo que hicimos, baby (Nio)

Yo te di confianza y me fallaste
Te burlaste de mí y me humillaste
Me gusta que te fuiste y no explicaste
Viste mi película y viraste

Ahora quieres saber lo que pienso de ti
Me siento cabrón porque no estás aquí
Así como viniste tú te puedes ir (te puedes ir)

No te voy a negar que te sufrí, la pasé mal
Pero me superé y de mi vida te boté, y te boté
Te di banda y te solté, yo te solté
Pa'l carajo te mandé, yo te mandé
Y de mi vida te saqué, yo te saqué
Bebé, yo te boté

Miento si digo que no me hace falta cuando me rozaba tu piel
Miento si digo que no me hace falta que llames al amanecer
Pidiéndome que te agarre bien duro en la cama y te haga mi mujer
Aprovecho el remix con Ozu para mandarte pa'l carajo también

No quiero mentiras ni tu falsedad
Me voy pa la calle esta noche a rumbear
Me bebo dos tragos y te voy a olvidar
Me voy con las babys que quieran jugar

No quiero mentiras ni tu falsedad
Me voy pa la calle esta noche a rumbear
Me bebo dos tragos y te voy a olvidar
Me voy con las babys que quieran jugar

Bebé, yo te boté, te boté
Te di banda y te solté, yo te solté
Pa'l carajo te mandé, yo te mandé
Y de mi vida te saqué, yo te saqué

Yeah, yeah, yeah, Bad Bunny, Bad, Bad (yeah)
N-I-C-K, This is the remix
Nicky, Nicky, Nicky Jam
Casper, Darell
Nio García, yeah
Ozuna, (Ozuna) el negrito, claro
This is the remix
Flow La Movie (oh, ho-ho, Jo Martino)
Hear This Music (Jo Martino) DJ Nelson
Mera dime Chronic Magicas
Esta es la verdadera Wilto, oíste baby (está es la magia)
Flow La Movie
Era indica Shorty Complete
Pa que sepa
Los verdaderos hijo 'e puta de las voces
Chuasy
¡Ratata-ta!"
